ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
708594,Photo,Great Cormorant,Phalacrocorax carbo,,Ciro De Simone,,,,,,Italy,IT-62,Lazio,,"Roma (41.9166, 12.4832)",41.9166000,12.4832000,"","",Unspecified,"","",,IBC1103812,,,,,,"",,,"Cormorano. Elevation: 44 m. Date added to IBC: June 22, 2016.",,Phalacrocorax carbo,grecor,Species,,,4.20,5,"",800,1200
708595,Photo,Great Bittern,Botaurus stellaris,,Ciro De Simone,,,,,,Italy,IT-62,Lazio,,"Litorale Romano Nature Reserve (41.8568, 12.2305)",41.8568000,12.2305000,"","",Unspecified,"","",,IBC1103813,,,,,,"",,,"Tarabuso. Elevation: 2 m. Date added to IBC: June 22, 2016.",,Botaurus stellaris,grebit1,Species,,,4.33,6,"",1200,800
708596,Photo,Yellow-legged Gull (michahellis),Larus michahellis michahellis,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103814,,,,,,"",,,"Gabbiano reale. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Larus michahellis,yelgul3,Group,,,4.00,4,"",800,1200
708597,Photo,White-winged Tern,Chlidonias leucopterus,,Ciro De Simone,,,,,,Italy,IT-75,Puglia,,Puglia,40.9806834,16.6274043,"","",Unspecified,"","",,IBC1103815,,,,,,"",,,"Mignattino alibianche. Original IBC location name and coordinates: Puglia (Apulia) Region (40.9757,16.9409). Elevation: 198 m. Date added to IBC: June 22, 2016.",,Chlidonias leucopterus,whwter,Species,,,4.00,4,"",800,1200
708598,Photo,Muscovy Duck,Cairina moschata,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103816,,,,,,"",,,"Bird resting. Anatra muta. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Cairina moschata,musduc,Species,,,4.00,4,"",800,1200
708599,Photo,Greater Flamingo,Phoenicopterus roseus,,Ciro De Simone,,,,,,Italy,IT-75,Puglia,,Puglia,40.9806834,16.6274043,"","",Unspecified,"","",,IBC1103817,,,,,,"",,,"Fenicotteri rosa junior. Original IBC location name and coordinates: Puglia (Apulia) Region (40.9757,16.9409). Elevation: 198 m. Date added to IBC: June 22, 2016.",,Phoenicopterus roseus,grefla3,Species,,,4.00,4,"",791,1200
708600,Photo,Moustached Warbler,Acrocephalus melanopogon,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103818,,,,,,"",,,"Forapaglie castagnolo. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Acrocephalus melanopogon,mouwar1,Species,,,4.00,4,"",800,1200
708601,Photo,Great Reed Warbler,Acrocephalus arundinaceus,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103819,,,,,,"",,,"Cannaraccione. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Acrocephalus arundinaceus,grrwar1,Species,,,4.00,4,"",1200,874
708602,Photo,"Cetti's Warbler",Cettia cetti,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103820,,,,,,"",,,"Usignolo di fiume. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Cettia cetti,cetwar1,Species,,,4.18,11,"",800,1200
708603,Photo,Purple Heron,Ardea purpurea,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103821,,,,,,"",,,"Airone rosso. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Ardea purpurea,purher1,Species,,,4.00,4,"",800,1200
708604,Photo,Great Egret,Ardea alba,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103822,,,,,,"",,,"Airone bianco. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Ardea alba,greegr,Species,,,4.00,4,"",803,1200
708605,Photo,Eurasian Moorhen,Gallinula chloropus,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103826,,,,,,"",,,"Gallinella. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Gallinula chloropus,commoo3,Species,,,4.00,4,"",800,1200
708606,Photo,Egyptian Vulture,Neophron percnopterus,,Ciro De Simone,,,,,,Italy,IT-77,Basilicata,,Basilicata,40.4994400,16.0827705,"","",Unspecified,"","",,IBC1103863,,,,,,"",,,"Capovaccaio. Original IBC location name and coordinates: Basilicata Region (40.4469,16.1334). Elevation: 1013 m. Date added to IBC: June 22, 2016.",,Neophron percnopterus,egyvul1,Species,,,3.00,4,"",1067,1600
708607,Photo,Zitting Cisticola,Cisticola juncidis,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103864,,,,,,"",,,"Baccamoschino. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Cisticola juncidis,zitcis1,Species,,,4.29,7,"",640,960
