ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
726203,Photo,"Macqueen's Bustard",Chlamydotis macqueenii,,YOGENDRA SHAH,,2009,11,,,India,IN-GJ-KA,Gujarat,Kachchh,Little Rann of Kachchh,23.3888993,71.3415944,Male,Foraging or Eating,Unspecified,"","",,OBI41418,,,,,,"",,,"Male with prey. Equipment: Canon. Date added to OBI: February 27, 2010. Original OBI location name: Little Rann of Kutch, Gujarat, India.",,Chlamydotis macqueenii,macbus1,Species,,,5.00,1,"",,
726204,Photo,Black-browed Babbler,Malacocincla perspicillata,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-KA,Kalimantan,,Kalimantan,-2.4633511,115.8984590,Male,"",Unspecified,"","",,OBI28448,,,,,,"",,,"Male. Remarks: This is the type specimen of this species.RMNH.AVES.89412: Collected by C.A.L.M. Schwaner in 1850. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected in South Borneo, Indonesia.",,Malacocincla perspicillata,blbbab1,Species,,,3.00,3,"",,
726205,Photo,Black-browed Babbler,Malacocincla perspicillata,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-KA,Kalimantan,,Kalimantan,-2.4633511,115.8984590,Male,"",Unspecified,"","",,OBI28449,,,,,,"",,,"Male. Remarks: This is the type specimen of this species.RMNH.AVES.89412: Collected by C.A.L.M. Schwaner in 1850. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected in South Borneo, Indonesia.",,Malacocincla perspicillata,blbbab1,Species,,,2.50,4,"",,
726206,Photo,Black-browed Babbler,Malacocincla perspicillata,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-KA,Kalimantan,,Kalimantan,-2.4633511,115.8984590,Male,"",Unspecified,"","",,OBI28450,,,,,,"",,,"Male. Remarks: This is the type specimen of this species.RMNH.AVES.89412: Collected by C.A.L.M. Schwaner in 1850. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected in South Borneo, Indonesia.",,Malacocincla perspicillata,blbbab1,Species,,,2.67,3,"",,
726207,Photo,Black-browed Babbler,Malacocincla perspicillata,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-KA,Kalimantan,,Kalimantan,-2.4633511,115.8984590,Male,"",Unspecified,"","",,OBI28451,,,,,,"",,,"Male. Remarks: This is the type specimen of this species.RMNH.AVES.89412: Collected by C.A.L.M. Schwaner in 1850. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected in South Borneo, Indonesia.",,Malacocincla perspicillata,blbbab1,Species,,,2.50,4,"",,
726208,Photo,"Pallas's Cormorant",Urile perspicillatus,,Naturalis Biodiversity Center,,,,,,United States,US-AK,Alaska,,Alaska,61.4955400,-154.1027800,"","",Unspecified,"","",,OBI28439,,,,,,"",,,"Remarks: Presumed extinct.RMNH.AVES.107.865: Obtained through Museum St. Petersburg, Russia. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected at Sitka, Alaska, USA.",,Urile perspicillatus,palcor1,Species,,,3.40,5,"",,
726209,Photo,"Pallas's Cormorant",Urile perspicillatus,,Naturalis Biodiversity Center,,,,,,United States,US-AK,Alaska,,Alaska,61.4955400,-154.1027800,"","",Unspecified,"","",,OBI28440,,,,,,"",,,"Remarks: Presumed extinct.RMNH.AVES.107.865: Obtained through Museum St. Petersburg, Russia. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected at Sitka, Alaska, USA.",,Urile perspicillatus,palcor1,Species,,,2.60,5,"",,
726210,Photo,"Pallas's Cormorant",Urile perspicillatus,,Naturalis Biodiversity Center,,,,,,United States,US-AK,Alaska,,Alaska,61.4955400,-154.1027800,"","",Unspecified,"","",,OBI28441,,,,,,"",,,"Remarks: Presumed extinct.RMNH.AVES.107.865: Obtained through Museum St. Petersburg, Russia. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected at Sitka, Alaska, USA.",,Urile perspicillatus,palcor1,Species,,,2.25,4,"",,
726211,Photo,Blue-wattled Bulbul,Pycnonotus nieuwenhuisii,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SM-AC,Sumatera,Aceh,Lesten,4.1677798,97.6670532,Adult Male,"",Unspecified,"","",,OBI28596,,,,,,"",,,"Adult male. Remarks: This is the holotype RMNH.AVES.14044 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected on 21 March 1937.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Lesten, Aceh, North Sumatra, Indonesia.",,Pycnonotus nieuwenhuisii,blwbul1,Species,,,2.00,1,"",,
726212,Photo,Blue-wattled Bulbul,Pycnonotus nieuwenhuisii,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SM-AC,Sumatera,Aceh,Lesten,4.1677798,97.6670532,Adult Male,"",Unspecified,"","",,OBI28597,,,,,,"",,,"Adult male. Remarks: This is the holotype RMNH.AVES.14044 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected on 21 March 1937.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Lesten, Aceh, North Sumatra, Indonesia.",,Pycnonotus nieuwenhuisii,blwbul1,Species,,,3.00,1,"",,
726213,Photo,Blue-wattled Bulbul,Pycnonotus nieuwenhuisii,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SM-AC,Sumatera,Aceh,Lesten,4.1677798,97.6670532,Adult Male,"",Unspecified,"","",,OBI28598,,,,,,"",,,"Adult male. Remarks: This is the holotype RMNH.AVES.14044 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected on 21 March 1937.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Lesten, Aceh, North Sumatra, Indonesia.",,Pycnonotus nieuwenhuisii,blwbul1,Species,,,3.00,1,"",,
726214,Photo,Gray-hooded White-eye,Heleia pinaiae,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-MA-MA,Maluku,Maluku,Gunung Sofiau,-3.4776038,130.2870661,Adult Male,"",Unspecified,"","",,OBI28581,,,,,,"",,,"Adult male. Remarks: This is the paratype RMNH.AVES.90069 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected by Erwin Stresemann on 13 June 1911.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Mount Sofia, Seram, South Moluccas, Indonesia.",,Heleia pinaiae,gyhwhe1,Species,,,5.00,1,"",,
726215,Photo,Gray-hooded White-eye,Heleia pinaiae,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-MA-MA,Maluku,Maluku,Gunung Sofiau,-3.4776038,130.2870661,Adult Male,"",Unspecified,"","",,OBI28582,,,,,,"",,,"Adult male. Remarks: This is the paratype RMNH.AVES.90069 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected by Erwin Stresemann on 13 June 1911.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Mount Sofia, Seram, South Moluccas, Indonesia.",,Heleia pinaiae,gyhwhe1,Species,,,5.00,1,"",,
726216,Photo,Gray-hooded White-eye,Heleia pinaiae,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-MA-MA,Maluku,Maluku,Gunung Sofiau,-3.4776038,130.2870661,Adult Male,"",Unspecified,"","",,OBI28583,,,,,,"",,,"Adult male. Remarks: This is the paratype RMNH.AVES.90069 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected by Erwin Stresemann on 13 June 1911.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Mount Sofia, Seram, South Moluccas, Indonesia.",,Heleia pinaiae,gyhwhe1,Species,,,5.00,1,"",,
726217,Photo,Streak-headed White-eye,Heleia squamiceps,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SL-SA,Sulawesi,Sulawesi Utara,Dungusan Soputan,1.1128139,124.7373283,"","",Unspecified,"","",,OBI28590,,,,,,"",,,"Remarks: This is the paratype RMNH.AVES.60848 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected on 27 August 1939.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Mount Soputan, Northeastern Sulawesi, Indonesia.",,Heleia squamiceps,sthwhe1,Species,,,3.00,1,"",,
726218,Photo,Streak-headed White-eye,Heleia squamiceps,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SL-SA,Sulawesi,Sulawesi Utara,Dungusan Soputan,1.1128139,124.7373283,"","",Unspecified,"","",,OBI28591,,,,,,"",,,"Remarks: This is the paratype RMNH.AVES.60848 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected on 27 August 1939.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Mount Soputan, Northeastern Sulawesi, Indonesia.",,Heleia squamiceps,sthwhe1,Species,,,3.00,1,"",,
726219,Photo,Streak-headed White-eye,Heleia squamiceps,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SL-SA,Sulawesi,Sulawesi Utara,Dungusan Soputan,1.1128139,124.7373283,"","",Unspecified,"","",,OBI28592,,,,,,"",,,"Remarks: This is the paratype RMNH.AVES.60848 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected on 27 August 1939.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Mount Soputan, Northeastern Sulawesi, Indonesia.",,Heleia squamiceps,sthwhe1,Species,,,1.00,1,"",,
726220,Photo,Barred Buttonquail,Turnix suscitator,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SM-BB,Sumatera,Bangka Belitung,"Gunung Liang, Belitung",-2.8976360,107.7049480,Adult,"",Unspecified,"","",,OBI28615,,,,,,"",,,"Adult. Remarks: This is the holotype RMNH.AVES.14029 held in the collection at Naturalis, The Netherlands' National Museum of Natural History.The specimen was collected on 9 February 1936.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Gunung Liang, Belitung (Billiton), Indonesia.",,Turnix suscitator,barbut1,Species,,,1.00,1,"",,
726221,Photo,Barred Buttonquail,Turnix suscitator,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SM-BB,Sumatera,Bangka Belitung,"Gunung Liang, Belitung",-2.8976360,107.7049480,Adult,"",Unspecified,"","",,OBI28616,,,,,,"",,,"Adult. Remarks: This is the holotype RMNH.AVES.14029 held in the collection at Naturalis, The Netherlands' National Museum of Natural History.The specimen was collected on 9 February 1936.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Gunung Liang, Belitung (Billiton), Indonesia.",,Turnix suscitator,barbut1,Species,,,1.00,1,"",,
726222,Photo,Streak-headed White-eye,Heleia squamiceps,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SL-ST,Sulawesi,Sulawesi Tengah,Gunung Ile-ile,0.9707002,121.7986267,Adult Male,"",Unspecified,"","",,OBI28587,,,,,,"",,,"Adult male. Remarks: This is the paratype RMNH.AVES.90070 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected on 6 November 1930.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Ile Ile, Matinan Mountains, North Sulawesi, Indonesia.",,Heleia squamiceps,sthwhe1,Species,,,1.00,1,"",,
726223,Photo,Streak-headed White-eye,Heleia squamiceps,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SL-ST,Sulawesi,Sulawesi Tengah,Gunung Ile-ile,0.9707002,121.7986267,Adult Male,"",Unspecified,"","",,OBI28588,,,,,,"",,,"Adult male. Remarks: This is the paratype RMNH.AVES.90070 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected on 6 November 1930.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Ile Ile, Matinan Mountains, North Sulawesi, Indonesia.",,Heleia squamiceps,sthwhe1,Species,,,2.00,1,"",,
726224,Photo,Streak-headed White-eye,Heleia squamiceps,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-SL-ST,Sulawesi,Sulawesi Tengah,Gunung Ile-ile,0.9707002,121.7986267,Adult Male,"",Unspecified,"","",,OBI28589,,,,,,"",,,"Adult male. Remarks: This is the paratype RMNH.AVES.90070 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected on 6 November 1930.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Ile Ile, Matinan Mountains, North Sulawesi, Indonesia.",,Heleia squamiceps,sthwhe1,Species,,,2.00,1,"",,
726225,Photo,Himalayan Quail,Ophrysia superciliosa,,Naturalis Biodiversity Center,,,,,,India,IN-,India,,India,23.1206098,79.4763902,Male,"",Unspecified,"","",,OBI28442,,,,,,"",,,"Male. Remarks: RMNH.AVES.110.049: No collector, date or locality is indicated on the label. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Presumed to have been collected in the Indian Himalaya before 1850.",,Ophrysia superciliosa,himqua1,Species,,,2.83,6,"",,
726226,Photo,Himalayan Quail,Ophrysia superciliosa,,Naturalis Biodiversity Center,,,,,,India,IN-,India,,India,23.1206098,79.4763902,Male,"",Unspecified,"","",,OBI28443,,,,,,"",,,"Male. Remarks: RMNH.AVES.110.049: No collector, date or locality is indicated on the label. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Presumed to have been collected in the Indian Himalaya before 1850.",,Ophrysia superciliosa,himqua1,Species,,,2.00,1,"",,
726227,Photo,Himalayan Quail,Ophrysia superciliosa,,Naturalis Biodiversity Center,,,,,,India,IN-,India,,India,23.1206098,79.4763902,Male,"",Unspecified,"","",,OBI28444,,,,,,"",,,"Male. Remarks: RMNH.AVES.110.049: No collector, date or locality is indicated on the label. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Presumed to have been collected in the Indian Himalaya before 1850.",,Ophrysia superciliosa,himqua1,Species,,,1.00,1,"",,
726228,Photo,Buff-banded Rail,Gallirallus philippensis,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-,Indonesia,,Indonesia,-2.3065057,120.1464844,"","",Unspecified,"","",,OBI28445,,,,,,"",,,"Remarks: This is the only known specimen of this species, purchased from a dealer in 1865. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Uncertain - possibly one of the larger Sunda Islands: Java, Sumatra or Borneo.",,Gallirallus philippensis,bubrai1,Species,,,3.00,1,"",,
726229,Photo,Buff-banded Rail,Gallirallus philippensis,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-,Indonesia,,Indonesia,-2.3065057,120.1464844,"","",Unspecified,"","",,OBI28446,,,,,,"",,,"Remarks: This is the only known specimen of this species, purchased from a dealer in 1865. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Uncertain - possibly one of the larger Sunda Islands: Java, Sumatra or Borneo.",,Gallirallus philippensis,bubrai1,Species,,,3.00,1,"",,
726230,Photo,Buff-banded Rail,Gallirallus philippensis,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-,Indonesia,,Indonesia,-2.3065057,120.1464844,"","",Unspecified,"","",,OBI28447,,,,,,"",,,"Remarks: This is the only known specimen of this species, purchased from a dealer in 1865. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Uncertain - possibly one of the larger Sunda Islands: Java, Sumatra or Borneo.",,Gallirallus philippensis,bubrai1,Species,,,3.00,1,"",,
726231,Photo,Blue-wattled Bulbul,Pycnonotus nieuwenhuisii,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-KA-KI,Kalimantan,Kalimantan Timur,Kalimantan Timur,1.3295246,116.3818937,Adult,"",Unspecified,"","",,OBI28593,,,,,,"",,,"Adult. Remarks: This is the holotype RMNH.AVES.89103 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected in October 1900.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Kayan River, Upper Kayan, Central Borneo, Indonesia.",,Pycnonotus nieuwenhuisii,blwbul1,Species,,,2.00,1,"",,
726232,Photo,Blue-wattled Bulbul,Pycnonotus nieuwenhuisii,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-KA-KI,Kalimantan,Kalimantan Timur,Kalimantan Timur,1.3295246,116.3818937,Adult,"",Unspecified,"","",,OBI28594,,,,,,"",,,"Adult. Remarks: This is the holotype RMNH.AVES.89103 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected in October 1900.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Kayan River, Upper Kayan, Central Borneo, Indonesia.",,Pycnonotus nieuwenhuisii,blwbul1,Species,,,2.00,1,"",,
726233,Photo,Blue-wattled Bulbul,Pycnonotus nieuwenhuisii,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-KA-KI,Kalimantan,Kalimantan Timur,Kalimantan Timur,1.3295246,116.3818937,"","",Unspecified,"","",,OBI28595,,,,,,"",,,"Remarks: This is the holotype RMNH.AVES.89103 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected in October 1900.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Kayan River, Upper Kayan, Central Borneo, Indonesia.",,Pycnonotus nieuwenhuisii,blwbul1,Species,,,2.00,1,"",,
726234,Photo,Bonin Grosbeak,Carpodacus ferreorostris,,Naturalis Biodiversity Center,,,,,,Japan,JP-13,Tokyo,,父島 (Chichijima (island)),27.0746650,142.2115025,Male,"",Unspecified,"","",,OBI28433,,,,,,"",,,"Male. Remarks: Presumed extinct. Collected by Friedrich von Kittlitz in 1828.  (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected on Chichi-jima (Peel Island), Ogasawara (Bonin) Islands, Japan.",,Carpodacus ferreorostris,bongro1,Species,,,3.00,1,"",,
726235,Photo,Bonin Grosbeak,Carpodacus ferreorostris,,Naturalis Biodiversity Center,,,,,,Japan,JP-13,Tokyo,,父島 (Chichijima (island)),27.0746650,142.2115025,Male,"",Unspecified,"","",,OBI28434,,,,,,"",,,"Male. Remarks: Presumed extinct. Collected by Friedrich von Kittlitz in 1828.  (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected on Chichi-jima (Peel Island), Ogasawara (Bonin) Islands, Japan.",,Carpodacus ferreorostris,bongro1,Species,,,2.00,1,"",,
726236,Photo,Bonin Grosbeak,Carpodacus ferreorostris,,Naturalis Biodiversity Center,,,,,,Japan,JP-13,Tokyo,,父島 (Chichijima (island)),27.0746650,142.2115025,Male,"",Unspecified,"","",,OBI28435,,,,,,"",,,"Male. Remarks: Presumed extinct. Collected by Friedrich von Kittlitz in 1828.  (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected on Chichi-jima (Peel Island), Ogasawara (Bonin) Islands, Japan.",,Carpodacus ferreorostris,bongro1,Species,,,4.00,2,"",,
726237,Photo,Bonin Grosbeak,Carpodacus ferreorostris,,Naturalis Biodiversity Center,,,,,,Japan,JP-13,Tokyo,,父島 (Chichijima (island)),27.0746650,142.2115025,Female,"",Unspecified,"","",,OBI28436,,,,,,"",,,"Female. Remarks: Presumed extinct. Collected by Friedrich von Kittlitz in 1828.  (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected on Chichi-jima (Peel Island), Ogasawara (Bonin) Islands, Japan.",,Carpodacus ferreorostris,bongro1,Species,,,2.00,1,"",,
726238,Photo,Bonin Grosbeak,Carpodacus ferreorostris,,Naturalis Biodiversity Center,,,,,,Japan,JP-13,Tokyo,,父島 (Chichijima (island)),27.0746650,142.2115025,Female,"",Unspecified,"","",,OBI28437,,,,,,"",,,"Female. Remarks: Presumed extinct. Collected by Friedrich von Kittlitz in 1828.  (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected on Chichi-jima (Peel Island), Ogasawara (Bonin) Islands, Japan.",,Carpodacus ferreorostris,bongro1,Species,,,3.00,1,"",,
726239,Photo,Bonin Grosbeak,Carpodacus ferreorostris,,Naturalis Biodiversity Center,,,,,,Japan,JP-13,Tokyo,,父島 (Chichijima (island)),27.0746650,142.2115025,Female,"",Unspecified,"","",,OBI28438,,,,,,"",,,"Female. Remarks: Presumed extinct. Collected by Friedrich von Kittlitz in 1828.  (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected on Chichi-jima (Peel Island), Ogasawara (Bonin) Islands, Japan.",,Carpodacus ferreorostris,bongro1,Species,,,2.00,1,"",,
726240,Photo,Bonin Thrush,Zoothera terrestris,,Naturalis Biodiversity Center,,,,,,Japan,JP-13,Tokyo,,父島 (Chichijima (island)),27.0746650,142.2115025,Adult,"",Unspecified,"","",,OBI28452,,,,,,"",,,"Adult. Remarks: RMNH.AVES.89298: Collected by Friedrich von Kittlitz in 1828. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected on Chichi-jima (Peel Island), Ogasawara (Bonin) Islands, Japan.",,Zoothera terrestris,bonthr2,Species,,,3.00,2,"",,
726241,Photo,Bonin Thrush,Zoothera terrestris,,Naturalis Biodiversity Center,,,,,,Japan,JP-13,Tokyo,,父島 (Chichijima (island)),27.0746650,142.2115025,Adult,"",Unspecified,"","",,OBI28453,,,,,,"",,,"Adult. Remarks: RMNH.AVES.89298: Collected by Friedrich von Kittlitz in 1828. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected on Chichi-jima (Peel Island), Ogasawara (Bonin) Islands, Japan.",,Zoothera terrestris,bonthr2,Species,,,5.00,2,"",,
726242,Photo,Bonin Thrush,Zoothera terrestris,,Naturalis Biodiversity Center,,,,,,Japan,JP-13,Tokyo,,父島 (Chichijima (island)),27.0746650,142.2115025,Adult,"",Unspecified,"","",,OBI28454,,,,,,"",,,"Adult. Remarks: RMNH.AVES.89298: Collected by Friedrich von Kittlitz in 1828. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected on Chichi-jima (Peel Island), Ogasawara (Bonin) Islands, Japan.",,Zoothera terrestris,bonthr2,Species,,,2.00,2,"",,
726243,Photo,Javan Lapwing,Vanellus macropterus,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-JW-JB,Jawa,Jawa Barat,Jawa Barat,-6.9195130,107.6029218,Adult Male,"",Unspecified,"","",,OBI28430,,,,,,"",,,"Adult male. Remarks: Presumed extinct.RMNH.AVES.32753: Collected by M. Bartels on 16 August 1907.  (Photography: Huub Veldhuijzen van Zanten, ETI) . Date added to OBI: January 05, 2008. Original OBI location name: Collected at Telar Tjabang Tampajan, Java, Indonesia.",,Vanellus macropterus,sunlap1,Species,,,2.50,2,"",,
726244,Photo,Javan Lapwing,Vanellus macropterus,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-JW-JB,Jawa,Jawa Barat,Jawa Barat,-6.9195130,107.6029218,Adult Male,"",Unspecified,"","",,OBI28431,,,,,,"",,,"Adult male. Remarks: Presumed extinct.RMNH.AVES.32753: Collected by M. Bartels on 16 August 1907.  (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected at Telar Tjabang Tampajan, Java, Indonesia.",,Vanellus macropterus,sunlap1,Species,,,2.50,2,"",,
726245,Photo,Javan Lapwing,Vanellus macropterus,,Naturalis Biodiversity Center,,,,,,Indonesia,ID-JW-JB,Jawa,Jawa Barat,Jawa Barat,-6.9195130,107.6029218,Adult Male,"",Unspecified,"","",,OBI28432,,,,,,"",,,"Adult male. Remarks: Presumed extinct.RMNH.AVES.32753: Collected by M. Bartels on 16 August 1907.  (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: Collected at Telar Tjabang Tampajan, Java, Indonesia.",,Vanellus macropterus,sunlap1,Species,,,3.50,2,"",,
726246,Photo,Pink-headed Duck,Rhodonessa caryophyllacea,,Naturalis Biodiversity Center,,,,,,,,,,,,,Male,"",Unspecified,"","",,OBI28425,,,,,,"",,,"Male. Remarks: Presumed extinct.Presumably collected in India, but collector and exact location unknown. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: naturalis - The National Museum of Natural History, Leiden, Netherlands.",,Rhodonessa caryophyllacea,pihduc1,Species,,,3.50,2,"",,
726247,Photo,Pink-headed Duck,Rhodonessa caryophyllacea,,Naturalis Biodiversity Center,,,,,,,,,,,,,Male,"",Unspecified,"","",,OBI28426,,,,,,"",,,"Male. Remarks: Presumed extinct.Presumably collected in India, but collector and exact location unknown. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: naturalis - The National Museum of Natural History, Leiden, Netherlands.",,Rhodonessa caryophyllacea,pihduc1,Species,,,4.67,3,"",,
726248,Photo,Pink-headed Duck,Rhodonessa caryophyllacea,,Naturalis Biodiversity Center,,,,,,,,,,,,,Male,"",Unspecified,"","",,OBI28427,,,,,,"",,,"Male. Remarks: Presumed extinct.Presumably collected in India, but collector and exact location unknown. (Photography: Huub Veldhuijzen van Zanten, ETI). Date added to OBI: January 05, 2008. Original OBI location name: naturalis - The National Museum of Natural History, Leiden, Netherlands.",,Rhodonessa caryophyllacea,pihduc1,Species,,,4.00,2,"",,
726249,Photo,Oriental Bay-Owl,Phodilus badius,,Naturalis Biodiversity Center,,,,,,,,,,,,,Adult,"",Unspecified,"","",,OBI28584,,,,,,"",,,"Adult. Remarks: This is the holotype RMNH.AVES.14021 held in the collection at Naturalis, The Netherlands' National Museum of Natural History.The specimen was collected by F J Kuiper on 5 November 1935.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Kampong Ajer Saga, Belitung (Billiton), Indonesia,.",,Phodilus badius,orbowl1,Species,,,3.00,1,"",,
726250,Photo,Oriental Bay-Owl,Phodilus badius,,Naturalis Biodiversity Center,,,,,,,,,,,,,Adult,"",Unspecified,"","",,OBI28585,,,,,,"",,,"Adult. Remarks: This is the holotype RMNH.AVES.14021 held in the collection at Naturalis, The Netherlands National Museum of Natural History.The specimen was collected by F J Kuiper on 5 November 1935.Photography by Christiane Quaisser, copyright Naturalis. Date added to OBI: January 20, 2008. Original OBI location name: Kampong Ajer Saga, Belitung (Billiton), Indonesia,.",,Phodilus badius,orbowl1,Species,,,3.00,1,"",,
